wav_filename,wav_filesize,transcript
knf_00001_01200920211.wav,0,ಅಂತಾರಾಷ್ಟ್ರೀಯ ಕಾರ್ಟೆಲ್ಲುಗಳಲ್ಲಿ ಎರಡು ವಿಧ
knf_00001_01610070590.wav,0,ಒಂದು ಸಾರ್ತಿ ಈ ಪಾರ್ಶ್ವಚಿತ್ರ ನಿರ್ಮಾಣವಾದ ನಂತರ
knf_00557_00693422845.wav,0,ಇಂದ್ರನಂತೆ ನೂರಾರು ಕುದುರೆಗಳು ಹೂಡಿದ ರಥದಲ್ಲಿ ಸಂಚರಿಸುವವನು.
knf_00557_01097230618.wav,0,ಪರ್ವತಗಳು ವಾಯುವಿಗನುಗುಣವಾಗಿ ಕಂಪಿಸುವುವು.
knf_03271_01280046274.wav,0,ಮಣ್ಣು ಹಾಗೂ ಸಂಪುಟದ ನಡುವಿನ ಜಾಗವನ್ನು ಒತ್ತಡಕ್ಕೊಳಪಡಿಸಿರುತ್ತಾರೆ.
knf_03271_01629528503.wav,0,ಚಿತ್ರವನ್ನು ಕೆಲವೊಮ್ಮೆ ವಾರ್ನಿಷ್ ಅಥವಾ ಕೆಲವು ಇತರ ಮುದ್ರಕಗಳನ್ನು ರಕ್ಷಣೆಯಾಗಿ ಲೇಪನ ಮಾಡಲಾಗುತ್ತದೆ.
knf_03574_00145342156.wav,0,ಹಚ್ಚುವ ಮೊದಲು ಲೋಹಗಳ ಮೈಯನ್ನು ಉಜ್ಜಿ ಒರಟು ಮಾಡುವುದು ಒಳ್ಳೆಯದು.
knf_03574_01609069976.wav,0,ಅಲ್ಲದೇ ಅದಕ್ಕೆ ಅಗತ್ಯ ತರಬೇತಿ ವ್ಯವಸ್ಥೆ ಮಾಡಿದರು.
knf_08476_00023010443.wav,0,ತನ್ನ ವ್ಯವಹಾರದಿಂದ ಸಂಭವಿಸಬಹುದಾದ ಎಲ್ಲ ಲಾಭನಷ್ಟಗಳಿಗೂ ಈ ಸಂಸ್ಥೆಯೇ ಪುರ್ಣವಾಗಿ ಹೊಣೆಯಾಗಿದೆ
knf_08476_01140084904.wav,0,ಪರಿಸ್ಥಿತಿ ಹೀಗಿದ್ದರೂ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯವು ಶ್ರಮಜೀವಿಗಳ ಅನೇಕ ಹೋರಾಟಗಳಲ್ಲಿ ಜಯಗಳಿಸಿ ಕಾರ್ಮಿಕ ಚಳವಳಿಯನ್ನು ಪ್ರಭಾವಶಾಲಿಯನ್ನಾಗಿ ಮಾಡಿತು
