wav_filename,wav_filesize,transcript
mlf_02879_00815596770.wav,0,അവർ അദ്ദേഹത്തെ സ്നേഹത്തോടെ ബെഞ്ചമിനച്ചൻ എന്ന് വിളിച്ചിരുന്നു
mlf_02879_01795762363.wav,0,കൂടുതൽ വിവരങ്ങൾ വരുമ്പോൾ തിരിച്ചു ചേർക്കാം
mlf_03132_01162270189.wav,0,അത്തരം ഏറ്റുപറയൽ അനുരഞ്ജനപ്രക്രിയയുടെ ഭാഗമാണ്
mlf_03132_01613325358.wav,0,അത്തരത്തിലുള്ള നിരവധി കിണറുകൾ ചരിത്ര ശേഷിപ്പുകളായി ഇവിടെ അവശേഷിക്കുന്നുണ്ട്
mlf_03228_00668533754.wav,0,അവയെക്കുറിച്ചറിയാൻ ഗുജറാത്തി നാനാർത്ഥങ്ങൾ എന്ന താൾ കാണുക
mlf_03228_01299568667.wav,0,ആരെങ്കിലും ആ പൊതുനിലപാട് സ്വീകരിച്ചില്ലെന്നത് സമ്മാനിതനാവാനുള്ള കാരണമല്ല
mlf_05401_00212968046.wav,0,അപ്രകാരം സംഭവിക്കുന്നത് ഊർജ്ജസംരക്ഷണനിയമത്തിനും സംവേഗസംരക്ഷണനിയമത്തിനും എതിരാകും
mlf_05401_00863865118.wav,0,അതിന്റെ വികസിതദശയിൽ ഏതാണ്ട് മുപ്പതോളം ക്ഷേത്രങ്ങൾ പണിതീർത്തിട്ടുണ്ട്
mlf_06469_00270783947.wav,0,അവിടെ ഗ്രോവിന്റെ ദുർഭരണത്തിനെതിരെ നടക്കുന്ന പ്രക്ഷോഭങ്ങളിൽ സജീവ സാന്നിദ്ധ്യമായി
mlf_06469_02146596867.wav,0,അദ്ദേഹം നൂറ്റിയിരുപത്തിയേഴ് റണ്ണുകൾ വാരിക്കൂട്ടി
